,street,house_number,city,state
0,61st Avenue South,10012,Seattle,Washington
0,Northeast 127th Street,837,Seattle,Washington
0,81st Avenue Northeast,15109,Kenmore,Washington
0,Fauntleroy Way Southwest,9236,Seattle,Washington
0,221st Avenue Northeast,923,Sammamish,Washington
0,Northeast Patterson Way,25005,Union Hill-Novelty Hill,Washington
0,South 330th Place,533,Federal Way,Washington
0,14th Avenue South,21421,Des Moines,Washington
0,Southwest 102nd Street,216,Seattle,Washington
0,232nd Place Southeast,26007,Maple Valley,Washington
0,146th Avenue Southeast,1133,Bellevue,Washington
0,Northeast 85th Street,3169,Seattle,Washington
0,NE 176th Court,8308,Kenmore,Washington
0,Northeast 3rd Place,22144,Sammamish,Washington
0,Northwest 57th Street,2825,Seattle,Washington
0,33rd Avenue Southwest,3614,Seattle,Washington
0,Northeast 141st Place,28272,Duvall,Washington
0,North 50th Street,1215,Seattle,Washington
0,Pike Street Northeast,19,Auburn,Washington
0,21st Avenue South,29826,Federal Way,Washington
0,Interlake Avenue North,10033,Seattle,Washington
0,79th Avenue Southeast,7998,Mercer Island,Washington
0,Southeast 307th Place,12840,Auburn,Washington
0,Southeast 277th Place,13105,Kent,Washington
0,Southeast 254th Court,12715,Kent,Washington
0,I Street Southeast,316,Auburn,Washington
0,West Boston Street,206,Seattle,Washington
0,East Harrison Street,1414,Seattle,Washington
0,Northeast 91st Street,2302,Seattle,Washington
0,Northeast 119th Way,17256,Redmond,Washington
0,Northwest Granite Peak Lane,NA,Issaquah,Washington
0,Greenwood Avenue North,13435,Seattle,Washington
0,9th Avenue Northwest,7326,Seattle,Washington
0,Northwest 83rd Street,1420,Seattle,Washington
0,138th Avenue Southeast,19504,Renton,Washington
0,17th Avenue Northeast,7349,Seattle,Washington
0,Northeast 62nd Court,15645,Redmond,Washington
0,Northwest 58th Street,NA,Seattle,Washington
0,42nd Avenue South,29840,Auburn,Washington
0,120th Place Southeast,8113,NA,Washington
0,234th Place Northeast,521,Sammamish,Washington
0,Southwest 174th Street,853,NA,Washington
0,242nd Way Northeast,9704,Union Hill-Novelty Hill,Washington
0,West Smith Street,507,Seattle,Washington
0,Southeast 172nd Street,12505,Renton,Washington
0,270th Place Northeast,NA,Duvall,Washington
0,Southwest 330th Street,2902,Federal Way,Washington
0,Northeast 8th Street,NA,Bellevue,Washington
0,25th Avenue Northeast,7001,Seattle,Washington
0,NA,NA,NA,Washington
0,10th Avenue South,19626,Des Moines,Washington
0,Blaine Avenue Northeast,663,Renton,Washington
0,22nd Avenue Northwest,7040,Seattle,Washington
0,9th Avenue Northwest,9527,Seattle,Washington
0,43rd Avenue Northeast,3848,Seattle,Washington
0,Northeast 43rd Street,3503,Seattle,Washington
0,Southeast 263rd Street,17025,Covington,Washington
0,Southeast 263rd Street,16426,Covington,Washington
0,Southeast 26th Street,16855,Bellevue,Washington
0,Ilwaco Avenue Northeast,1520,Renton,Washington
0,Southwest 189th Place,233,NA,Washington
0,1st Avenue South,NA,NA,Washington
0,6th Place Southwest,17551,NA,Washington
0,8th Avenue Northeast,NA,Seattle,Washington
0,27th Avenue,942,Seattle,Washington
0,22nd Avenue South,3214,Seattle,Washington
0,111th Avenue Southeast,NA,Bellevue,Washington
0,South 295th Court,6110,Auburn,Washington
0,Southeast 267th Place,17235,Covington,Washington
0,94th Avenue Northeast,2178,NA,Washington
0,Northeast 50th Street,13511,Bellevue,Washington
0,Northeast 149th Place,12206,Kirkland,Washington
0,38th Avenue Northeast,12042,Seattle,Washington
0,Southeast 269th Street,22840,Maple Valley,Washington
0,201st Avenue Southeast,27710,Kent,Washington
0,263rd Place Southeast,3058,Sammamish,Washington
0,Southeast 7th Street,16111,Bellevue,Washington
0,48th Avenue Southwest,4441,Seattle,Washington
0,Interlake Avenue North,10710,Seattle,Washington
0,Black Bear Trail,NA,NA,Washington
0,Maple Ridge Way Southeast,27989,Maple Valley,Washington
0,233rd Avenue Southeast,28155,Maple Valley,Washington
0,32nd Avenue South,6018,Seattle,Washington
0,143rd Avenue Southeast,14241,Renton,Washington
0,Northeast 135th Street,1715,Seattle,Washington
0,6th Avenue West,NA,Seattle,Washington
0,Fir Street Southeast,2020,Auburn,Washington
0,Meadow Avenue North,3419,Renton,Washington
0,Kennewick Place Northeast,2906,Renton,Washington
0,California Avenue Southwest,7106,Seattle,Washington
0,Southwest 349th Place,3002,Federal Way,Washington
0,West Bertona Street,2650,Seattle,Washington
0,12th Avenue Southwest,31218,Federal Way,Washington
0,Jones Avenue Northwest,8002,Seattle,Washington
0,Jones Avenue Northwest,8002,Seattle,Washington
0,64th Avenue Southeast,2688,Mercer Island,Washington
0,South 272nd Street,4419,Auburn,Washington
0,36th Avenue Southwest,33209,Federal Way,Washington
0,290th Avenue Southeast,21315,Maple Valley,Washington
0,470th Avenue Southeast,12711,North Bend,Washington
0,Boyer Avenue East,2509,Seattle,Washington
0,12th Avenue Northwest,6549,Seattle,Washington
0,194th Avenue Northeast,20088,Cottage Lake,Washington
0,108th Avenue Southeast,3190,Bellevue,Washington
0,118th Avenue Southeast,18415,Renton,Washington
0,Southeast 177th Place,15616,Renton,Washington
0,18th Avenue Northwest,8026,Seattle,Washington
0,9th Place South,24521,Des Moines,Washington
0,Northeast 143rd Place,19166,Cottage Lake,Washington
0,173rd Court Northeast,3598,Redmond,Washington
