price,date,bedrooms,sqft_lot,standard
75000.0,2015-02-17,1,43377,low_standard
78000.0,2014-05-06,2,16344,low_standard
80000.0,2014-05-23,1,5050,low_standard
81000.0,2015-03-24,2,9975,low_standard
82000.0,2014-11-05,3,10426,low_standard
82500.0,2014-05-08,2,22334,low_standard
83000.0,2014-05-29,2,8580,low_standard
84000.0,2015-04-30,2,20130,low_standard
85000.0,2015-03-05,2,9753,low_standard
85000.0,2014-09-15,2,9000,low_standard
86500.0,2014-07-22,3,9480,low_standard
89000.0,2014-10-14,3,4750,low_standard
89950.0,2015-02-19,1,4080,low_standard
90000.0,2015-04-18,1,4120,low_standard
90000.0,2015-03-03,1,4000,low_standard
90000.0,2014-05-13,2,2640,low_standard
90000.0,2014-11-29,3,2490,low_standard
90000.0,2014-05-23,2,7500,low_standard
92000.0,2014-06-16,2,5500,low_standard
95000.0,2014-12-12,2,8550,low_standard
95000.0,2015-04-08,2,7000,low_standard
95000.0,2015-05-05,1,5746,low_standard
95000.0,2014-09-19,2,20450,low_standard
96500.0,2014-10-29,3,12091,low_standard
99000.0,2015-01-05,2,8236,low_standard
100000.0,2014-07-17,2,17334,low_standard
100000.0,2014-07-03,2,5240,low_standard
100000.0,2014-06-10,4,2685,low_standard
100000.0,2014-05-07,2,22000,low_standard
100000.0,2014-06-30,2,7623,low_standard
100000.0,2014-09-04,2,6426,low_standard
102500.0,2014-07-01,2,4320,low_standard
104950.0,2014-12-08,2,8254,low_standard
105000.0,2014-09-02,3,8400,low_standard
105000.0,2015-03-17,3,18109,low_standard
105500.0,2014-07-16,2,7740,low_standard
106000.0,2014-11-26,1,5700,low_standard
107000.0,2014-08-28,3,5120,low_standard
107000.0,2014-08-28,2,4720,low_standard
109000.0,2015-01-14,2,6900,low_standard
109500.0,2014-09-18,2,10625,low_standard
110000.0,2014-05-12,3,53143,low_standard
110000.0,2015-02-19,2,6120,low_standard
110000.0,2014-06-11,2,15000,low_standard
110000.0,2015-01-27,2,7590,low_standard
110000.0,2014-09-15,1,10280,low_standard
110000.0,2015-03-11,2,4524,low_standard
110000.0,2015-04-27,2,8250,low_standard
110000.0,2014-10-30,2,4746,low_standard
110700.0,2014-05-19,2,8064,low_standard
